Idiopathic generalized epilepsy	idiopathic generalized epilepsy,,generalized idiopathic epilepsy, not intractable,,refractory idiopathic generalized epilepsy,,idiopathic generalized epilepsy in childhood,,epilepsy, idiopathic generalized, susceptibility to, 3,,epilepsy, idiopathic generalized, susceptibility to, 2,,epilepsy, idiopathic generalized, susceptibility to, 4 (finding),,epilepsy, idiopathic generalized, susceptibility to, 6,,epilepsy, idiopathic generalized, susceptibility to, 5 (finding),,epilepsy, idiopathic generalized, susceptibility to, 1,,epilepsy, idiopathic generalized, susceptibility to, 9,,epilepsy, idiopathic generalized, susceptibility to, 11,,epilepsy, idiopathic generalized, susceptibility to, 10,,epilepsy, idiopathic generalized, susceptibility to, 7,,epilepsy, idiopathic generalized, susceptibility to, 8,,idiopathic generalized epilepsy, non-refractory,,epilepsy, idiopathic generalized, susceptibility to, 12,,epilepsy, idiopathic generalized, susceptibility to, 13,,epilepsy, idiopathic generalized, susceptibility to, 14,,epilepsy, idiopathic generalized, susceptibility to, 15,,epilepsy, idiopathic generalized, susceptibility to, 16,,photoparoxysmal response 2,,epilepsy, idiopathic generalized, susceptibility to, locus on chromosome 8,,generalized idiopathic epilepsy, not intractable, with status epilepticus,,generalized idiopathic epilepsy and epileptic syndromes without intractability
Limb-Girdle Muscular Dystrophy, Recessive	limb-girdle muscular dystrophy type 2h,,autosomal recessive muscular dystrophy with limb girdle distribution,,severe autosomal recessive muscular dystrophy of childhood - north african type (disorder),,ullrich congenital muscular dystrophy 1,,autosomal recessive muscular dystrophy not predominantly limb girdle,,dysf gene,,tcap gene,,trim32 gene,,ano5 gene,,limb-girdle muscular dystrophy type 2f,,muscular dystrophy, limb-girdle, type 2k,,muscular dystrophy, limb-girdle, type 2j,,muscular dystrophy, limb-girdle, type 2i,,muscular dystrophy, limb-girdle, type 2b,,limb-girdle muscular dystrophy, type 2e,,muscular dystrophy, limb-girdle, type 2g,,limb-girdle muscular dystrophy type 2a,,muscular dystrophy, limb-girdle, type 2m,,muscular dystrophy, limb-girdle, type 2l (disorder),,limb-girdle muscular dystrophy autosomal recessive,,alpha-sarcoglycanopathies,,muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 3,,muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 2,,muscular dystrophy, limb-girdle, type 2q,,muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 9
limb-girdle muscular dystrophy type 2h	Limb-Girdle Muscular Dystrophy, Recessive
autosomal recessive muscular dystrophy with limb girdle distribution	Limb-Girdle Muscular Dystrophy, Recessive
severe autosomal recessive muscular dystrophy of childhood - north african type (disorder)	Limb-Girdle Muscular Dystrophy, Recessive
ullrich congenital muscular dystrophy 1	Limb-Girdle Muscular Dystrophy, Recessive
autosomal recessive muscular dystrophy not predominantly limb girdle	Limb-Girdle Muscular Dystrophy, Recessive
dysf gene	Limb-Girdle Muscular Dystrophy, Recessive
tcap gene	Limb-Girdle Muscular Dystrophy, Recessive
trim32 gene	Limb-Girdle Muscular Dystrophy, Recessive
ano5 gene	Limb-Girdle Muscular Dystrophy, Recessive
limb-girdle muscular dystrophy type 2f	Limb-Girdle Muscular Dystrophy, Recessive
muscular dystrophy, limb-girdle, type 2k	Limb-Girdle Muscular Dystrophy, Recessive
muscular dystrophy, limb-girdle, type 2j	Limb-Girdle Muscular Dystrophy, Recessive
muscular dystrophy, limb-girdle, type 2i	Limb-Girdle Muscular Dystrophy, Recessive
muscular dystrophy, limb-girdle, type 2b	Limb-Girdle Muscular Dystrophy, Recessive
limb-girdle muscular dystrophy, type 2e	Limb-Girdle Muscular Dystrophy, Recessive
muscular dystrophy, limb-girdle, type 2g	Limb-Girdle Muscular Dystrophy, Recessive
limb-girdle muscular dystrophy type 2a	Limb-Girdle Muscular Dystrophy, Recessive
muscular dystrophy, limb-girdle, type 2m	Limb-Girdle Muscular Dystrophy, Recessive
muscular dystrophy, limb-girdle, type 2l (disorder)	Limb-Girdle Muscular Dystrophy, Recessive
limb-girdle muscular dystrophy autosomal recessive	Limb-Girdle Muscular Dystrophy, Recessive
alpha-sarcoglycanopathies	Limb-Girdle Muscular Dystrophy, Recessive
muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 3	Limb-Girdle Muscular Dystrophy, Recessive
muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 2	Limb-Girdle Muscular Dystrophy, Recessive
muscular dystrophy, limb-girdle, type 2q	Limb-Girdle Muscular Dystrophy, Recessive
muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 9	Limb-Girdle Muscular Dystrophy, Recessive
Limb-girdle muscular dystrophy-dystroglycanopathy, type C3	no results
Muscle eye brain disease	muscle eye brain disease,,pomgnt1 gene,,muscle-eye-brain disease, congenital muscular dystrophy,,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies) type a, 1,,muscle eye brain disease with bilateral multicystic leukodystrophy,,fukuyama type congenital muscular dystrophy,,muscular dystrophy, muscle-eye-brain disease type gene mutation reagents,,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 2,,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 5,,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 6,,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 3,,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 7,,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 8,,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 10,,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 11,,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 12,,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 13,,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 14,,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 9
muscle eye brain disease	Muscle eye brain disease
pomgnt1 gene	Muscle eye brain disease
muscle-eye-brain disease, congenital muscular dystrophy	Muscle eye brain disease
muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies) type a, 1	Muscle eye brain disease
muscle eye brain disease with bilateral multicystic leukodystrophy	Muscle eye brain disease
fukuyama type congenital muscular dystrophy	Muscle eye brain disease
muscular dystrophy, muscle-eye-brain disease type gene mutation reagents	Muscle eye brain disease
muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 2	Muscle eye brain disease
muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 5	Muscle eye brain disease
muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 6	Muscle eye brain disease
muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 3	Muscle eye brain disease
muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 7	Muscle eye brain disease
muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 8	Muscle eye brain disease
muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 10	Muscle eye brain disease
muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 11	Muscle eye brain disease
muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 12	Muscle eye brain disease
muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 13	Muscle eye brain disease
muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 14	Muscle eye brain disease
muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 9	Muscle eye brain disease
 Congenital muscular dystrophy-dystroglycanopathy with mental retardation, type B3	no results
FAAH POLYMORPHISM	faah polymorphism
faah polymorphism	FAAH POLYMORPHISM
Primary autosomal recessive microcephaly 7	microcephaly, primary autosomal recessive, 7 (disorder)
microcephaly, primary autosomal recessive, 7 (disorder)	Primary autosomal recessive microcephaly 7
familial thoracic aortic aneurysm and aortic dissection	congenital aneurysm of ascending aorta,,familial thoracic aortic aneurysm and aortic dissection,,familial thoracic aortic aneurysm and aortic dissection,,familial thoracic aortic aneurysm and aortic dissection gene anomaly detection reagents,,ivd panels, human genetics, aortopathy, thoracic aortic aneurysm/dissection,,ivd panels, human genetics, aortopathy, thoracic aortic aneurysm/dissection, del/dup,,ivd panels, human genetics, aortopathy, thoracic aortic aneurysm/dissection, mutation
congenital aneurysm of ascending aorta	familial thoracic aortic aneurysm and aortic dissection
familial thoracic aortic aneurysm and aortic dissection gene anomaly detection reagents	familial thoracic aortic aneurysm and aortic dissection
ivd panels, human genetics, aortopathy, thoracic aortic aneurysm/dissection	familial thoracic aortic aneurysm and aortic dissection
ivd panels, human genetics, aortopathy, thoracic aortic aneurysm/dissection, del/dup	familial thoracic aortic aneurysm and aortic dissection
ivd panels, human genetics, aortopathy, thoracic aortic aneurysm/dissection, mutation	familial thoracic aortic aneurysm and aortic dissection
Meier-Gorlin syndrome	ear, patella, short stature syndrome,,meier-gorlin syndrome 2,,meier-gorlin syndrome 3,,meier-gorlin syndrome 4,,meier-gorlin syndrome 5,,meier-gorlin syndrome 6,,meier-gorlin syndrome 7,,meier-gorlin syndrome 8,,meier-gorlin syndrome 1
Meier-Gorlin syndrome 1	meier-gorlin syndrome 1
Carnitine palmitoyltransferase II deficiency	carnitine palmitoyl transferase 2 deficiency,,carnitine palmitoyltransferase ii deficiency, late-onset,,carnitine palmitoyltransferase ii deficiency, infantile,,carnitine palmitoyltransferase ii deficiency, lethal neonatal,,carnitine palmitoyltransferase ii (cpt2) deficiency gene mutation detection reagents,,adult-onset carnitine palmitoyltransferase ii deficiency gene anomaly detection reagents,,carnitine palmitoyltransferase ii deficiency gene anomaly detection reagents,,carnitine palmitoyltransferase ii deficiency with hypoketotic hypoglycemia gene anomaly detection reagents,,late-onset carnitine palmitoyltransferase ii deficiency gene anomaly detection reagents,,myopathic carnitine palmitoyltransferase ii deficiency gene anomaly detection reagents
carnitine palmitoyl transferase 2 deficiency	Carnitine palmitoyltransferase II deficiency,,carnitine palmitoyltransferase II deficiency
carnitine palmitoyltransferase ii deficiency, late-onset	Carnitine palmitoyltransferase II deficiency,,carnitine palmitoyltransferase II deficiency
carnitine palmitoyltransferase ii deficiency, infantile	Carnitine palmitoyltransferase II deficiency,,carnitine palmitoyltransferase II deficiency,,Carnitine palmitoyltransferase II deficiency, infantile
carnitine palmitoyltransferase ii deficiency, lethal neonatal	Carnitine palmitoyltransferase II deficiency,,carnitine palmitoyltransferase II deficiency,,Carnitine palmitoyltransferase II deficiency, lethal neonatal,, Carnitine palmitoyltransferase II deficiency, lethal neonatal
carnitine palmitoyltransferase ii (cpt2) deficiency gene mutation detection reagents	Carnitine palmitoyltransferase II deficiency,,carnitine palmitoyltransferase II deficiency
adult-onset carnitine palmitoyltransferase ii deficiency gene anomaly detection reagents	Carnitine palmitoyltransferase II deficiency,,carnitine palmitoyltransferase II deficiency
carnitine palmitoyltransferase ii deficiency gene anomaly detection reagents	Carnitine palmitoyltransferase II deficiency,,carnitine palmitoyltransferase II deficiency
carnitine palmitoyltransferase ii deficiency with hypoketotic hypoglycemia gene anomaly detection reagents	Carnitine palmitoyltransferase II deficiency,,carnitine palmitoyltransferase II deficiency
late-onset carnitine palmitoyltransferase ii deficiency gene anomaly detection reagents	Carnitine palmitoyltransferase II deficiency,,carnitine palmitoyltransferase II deficiency
myopathic carnitine palmitoyltransferase ii deficiency gene anomaly detection reagents	Carnitine palmitoyltransferase II deficiency,,carnitine palmitoyltransferase II deficiency
carnitine palmitoyltransferase II deficiency	carnitine palmitoyl transferase 2 deficiency,,carnitine palmitoyltransferase ii deficiency, late-onset,,carnitine palmitoyltransferase ii deficiency, infantile,,carnitine palmitoyltransferase ii deficiency, lethal neonatal,,carnitine palmitoyltransferase ii (cpt2) deficiency gene mutation detection reagents,,adult-onset carnitine palmitoyltransferase ii deficiency gene anomaly detection reagents,,carnitine palmitoyltransferase ii deficiency gene anomaly detection reagents,,carnitine palmitoyltransferase ii deficiency with hypoketotic hypoglycemia gene anomaly detection reagents,,late-onset carnitine palmitoyltransferase ii deficiency gene anomaly detection reagents,,myopathic carnitine palmitoyltransferase ii deficiency gene anomaly detection reagents
Carnitine palmitoyltransferase II deficiency, infantile	carnitine palmitoyltransferase ii deficiency, infantile
Carnitine palmitoyltransferase II deficiency, lethal neonatal	carnitine palmitoyltransferase ii deficiency, lethal neonatal
 Carnitine palmitoyltransferase II deficiency, lethal neonatal	carnitine palmitoyltransferase ii deficiency, lethal neonatal
Myocardial infarction 1	myocardial infarction, susceptibility to, 1 (finding),,myocardial infarction due to atherothrombotic coronary artery disease,,thrombolysis in myocardial infarction flow-1,,acute myocardial infarction type 1,,subsequent type 1 myocardial infarction,,history of myocardial infarction due to atherothrombotic coronary artery disease,,mirt1 long-non-coding rna, mouse,,myocardial infarction in past 24h:find:1d:^patient:ord,,type 1 non-st elevation myocardial infarction,,timi grade 1: penetration without perfusion,,cath atherectomy 1 performed during acute myocardial infarction,,exclusion of type 1 and type 2 myocardial infarction diagnosis indicator,,type 1 st elevation myocardial infarction of anterior wall,,type 1 st elevation myocardial infarction of inferior wall,,type 1 st elevation myocardial infarction of other sites,,type 1 st elevation myocardial infarction of unspecified site,,myocardial infarction 1 (mci1) gene anomaly detection reagents,,susceptibility to myocardial infarction 1 gene anomaly detection reagents
myocardial infarction, susceptibility to, 1 (finding)	Myocardial infarction 1
myocardial infarction due to atherothrombotic coronary artery disease	Myocardial infarction 1
thrombolysis in myocardial infarction flow-1	Myocardial infarction 1
acute myocardial infarction type 1	Myocardial infarction 1
subsequent type 1 myocardial infarction	Myocardial infarction 1
history of myocardial infarction due to atherothrombotic coronary artery disease	Myocardial infarction 1
mirt1 long-non-coding rna, mouse	Myocardial infarction 1
myocardial infarction in past 24h:find:1d:^patient:ord	Myocardial infarction 1
type 1 non-st elevation myocardial infarction	Myocardial infarction 1
timi grade 1: penetration without perfusion	Myocardial infarction 1
cath atherectomy 1 performed during acute myocardial infarction	Myocardial infarction 1
exclusion of type 1 and type 2 myocardial infarction diagnosis indicator	Myocardial infarction 1
type 1 st elevation myocardial infarction of anterior wall	Myocardial infarction 1
type 1 st elevation myocardial infarction of inferior wall	Myocardial infarction 1
type 1 st elevation myocardial infarction of other sites	Myocardial infarction 1
type 1 st elevation myocardial infarction of unspecified site	Myocardial infarction 1
myocardial infarction 1 (mci1) gene anomaly detection reagents	Myocardial infarction 1
susceptibility to myocardial infarction 1 gene anomaly detection reagents	Myocardial infarction 1
Desmosterolosis	desmosterolosis
desmosterolosis	Desmosterolosis
Bartter syndrome	bartter disease,,inappropriate adh syndrome,,pseudo-bartter syndrome,,bartter syndrome, type 3,,bartter syndrome, type 4a,,bartter syndrome, type 4b,,bartter syndrome type 4,,hypocalcemia, autosomal dominant, with bartter syndrome,,bartter syndrome, type 3, with hypocalciuria,,bartter syndrome, antenatal , type 2,,bartter syndrome, antenatal type 1,,bsnd gene,,bsnd protein, human,,bsnd protein, mouse,,bartter syndrome, type 4, digenic, del,,bartter syndrome, type 4b, neonatal, with sensorineural deafness,,bartter syndrome, type 5, antenatal, transient,,bartter syndrome, type 4a, with sensorineural deafness,,bartter syndrome, type 4b, with sensorineural deafness,,hypocalcemia, autosomal dominant 1, with bartter syndrome,,bartter syndrome gene anomaly detection reagents,,classic bartter syndrome gene anomaly detection reagents,,bsnd protein, rat,,bsnd wt allele,,bartter syndrome type 3 gene anomaly detection reagents
